Q,A
-여기서 뭐 하는 거야?,"애드콕스의 뒷모습을 봤어! 화상을 봤어! 내가 거기다 뒀어! 맙소사, 스티븐이 사람을 죽였어!"
"애드콕스의 뒷모습을 봤어! 화상을 봤어! 내가 거기다 뒀어! 맙소사, 스티븐이 사람을 죽였어!",알아
알아,어떻게 알아?
어떻게 알아?,네가 화학 약품을 찾으러 왔을 때 알았어. 나를 찾고 있다.
네가 화학 약품을 찾으러 왔을 때 알았어. 나를 찾고 있다.,-- 그들은 거기서 무엇을 하고 있었는가?
-- 그들은 거기서 무엇을 하고 있었는가?,"보트를 타려고 한 거야, 브라이언"
또 다른 건 없으세요?,이걸 어떻게 하지?
이걸 어떻게 하지?,내가 처리할게.
내가 처리할게.,"우린 림갈레로 가야 해, 스티븐"
"우린 림갈레로 가야 해, 스티븐",난 그의 중위다. 그는 내 책임이다. 내가 처리할게. 나.
"넌 그의 하사관이야, 스티븐... 네가 처리할 거야? 네가 스티븐이니?",입 다물어!
"이 미친 자식아, 왜 네가 있어야 할 책상 뒤에 있지 못했지?","""불길이 될 거면 불이 당신을 노려보기 전까지는 절대 모를 겁니다..."""
"""불길이 될 거면 불이 당신을 노려보기 전까지는 절대 모를 겁니다...""","입 다물어, 응? 팔이 부러진 것 같아"
애드콕스에 대해 말하지 마 저들이...,"미안해... 미안해, 내가 생각한건... 안 할께요."
브라이언,제니퍼
제니퍼,돌아왔구나.
돌아왔구나.,멋져 보인다.
멋져 보인다.,전화 주셔서 감사 해요
전화 주셔서 감사 해요,음... 내가 좀 숨기는 편이었는데... 학원은... 나는 오늘 졸업했다.
음... 내가 좀 숨기는 편이었는데... 학원은... 나는 오늘 졸업했다.,흠.
흠.,그럼... 아직 근처에 있는 것 같군
그럼... 아직 근처에 있는 것 같군,별로 그렇지 않아요. 그냥 방문 중. 나는 지금 링컨 공원에 살고 있다.
별로 그렇지 않아요. 그냥 방문 중. 나는 지금 링컨 공원에 살고 있다.,그래? 뭐하고 지냈어?
그래? 뭐하고 지냈어?,나는 시청에서 일한다.
나는 시청에서 일한다.,정말? 농담 아니야.
정말? 농담 아니야.,"뭐, 네가 떠날 때 내가 그냥 말라서 날려버린 줄 알아? 네 허락이 없더라도 가끔 세상은 변한다 브라이언.Briany don't turn once brian."
"뭐, 다른 건 몰라도 우리가 여전히 친구가 될 수 있다는 건 좋은 일이야.","난 네 친구가 되고 싶지 않아, 브라이언."
"그레나딘으로, 맞지?",내가 스무 살 때.
내가 스무 살 때.,"오, 아주 세련됐군. 재밌어?"
"봐, 난 토요일 밤에 네 다리를 감싸는 것만큼 좋은 일이 없었던 그 여자가 아니야. 이건 재미에 관한게 아니야. 난 여기서 일하고 있어.",스웨이작의 수첩을 들고?
스웨이작의 수첩을 들고?,내가 뭐 하나 말해줄게. 마틴 스웨이지크가 이 마을의 차기 시장이 될 것이다.
내가 뭐 하나 말해줄게. 마틴 스웨이지크가 이 마을의 차기 시장이 될 것이다.,"그래, 스웨이지크 인류의 마지막 희망. 어떻게 저 남자를 위해 일할 수 있어?"
"그래, 스웨이지크 인류의 마지막 희망. 어떻게 저 남자를 위해 일할 수 있어?",마티가 왜 오늘 밤 여기 왔을까? 왜냐하면 그는 당신의 부서를 신경 쓰기 때문이다. 너는 그가 얼마나 열심히 일하는지 몰라. 웨스트사이드에 도움이 되는 그의 프로그램에 대해서는 모르시겠죠.
마티가 왜 오늘 밤 여기 왔을까? 왜냐하면 그는 당신의 부서를 신경 쓰기 때문이다. 너는 그가 얼마나 열심히 일하는지 몰라. 웨스트사이드에 도움이 되는 그의 프로그램에 대해서는 모르시겠죠.,-- 그의 프로그램이 소방관들을 다치게 하고 있다는 것 밖에 아는 게 없다.
-- 그의 프로그램이 소방관들을 다치게 하고 있다는 것 밖에 아는 게 없다.,"거짓말이지 마티의 계획은 효율성에 관한 것일 뿐이다. 난 사촌 두 명이 있는데, 내가 믿지 않으면 그 사람 밑에서 일할 것 같아?"
"뭐였어요? 이런, 요한 바오로 2세 대로 이후로 몇 가지 동작을 취하셨군요.","그래, 난 JP II에서 아일랜드 픽 싸움과 플랑커에서 리트워크스 바프 하는 걸 보면서 시간을 보냈다고 생각하고 싶어."
"그래, 난 JP II에서 아일랜드 픽 싸움과 플랑커에서 리트워크스 바프 하는 걸 보면서 시간을 보냈다고 생각하고 싶어.",JP II에서의 꽤 좋은 밤들이 생각나는군.
"이런, 그걸 날려버리는 데 30초나 걸렸군.","제니퍼, 그는 그저 입이 달린 또 다른 노스사이드의 재갈꾼일 뿐이야."
"제니퍼, 그는 그저 입이 달린 또 다른 노스사이드의 재갈꾼일 뿐이야.","브라이언, 너는 항상 그렇게 멍청하게 굴어야 하니? 너의 미래에 대해 한번 생각해봐."
"브라이언, 너는 항상 그렇게 멍청하게 굴어야 하니? 너의 미래에 대해 한번 생각해봐.",그래서 지금 갑자기 내 미래에 대해 신경을 쓰는 거야?
그래서 지금 갑자기 내 미래에 대해 신경을 쓰는 거야?,"이봐, 아까 거기서 한 조각 떼어내려고 한 게 아니라 그냥 네가 돌아오면 전화할 줄 알았어. 그러지 않았고... 우리 사이의 이 쓰레기 때문에 그것을 망치지 마라."
"이봐, 아까 거기서 한 조각 떼어내려고 한 게 아니라 그냥 네가 돌아오면 전화할 줄 알았어. 그러지 않았고... 우리 사이의 이 쓰레기 때문에 그것을 망치지 마라.","이봐, 내가 네 상사 앞에서 너를 나쁘게 보이게 했다면 미안해. 하지만 난 그를 위해 포스터보이가 되지 않을거야. 난 여기서 뭔가를 하려고 노력중이야. 이 방에는 매일 실제로 그런 일을 하는 5백 명의 흡연자들이 있다. 스웨이지크에게 그들 중 한 명과 얘기하라고 해."
"요전 날 밤에 네가 한 말을 생각해 봤는데... 만약 그 제안이 아직 유효하다면, 나는 그것에 대해 이야기하고 싶다.","...알았어. 내가 너의 임무 선장과 일을 처리할게. 마티는 좋은 사람이야, 브라이언."
"...알았어. 내가 너의 임무 선장과 일을 처리할게. 마티는 좋은 사람이야, 브라이언.",네...
방화다.,네 부서가 일주일 내내 나에게 준 가장 솔직한 대답이야.
이봐,어떻게 지내요?
어떻게 지내요?,상사와 나는 한 시간에 세 단어 정도까지 한다.
상사와 나는 한 시간에 세 단어 정도까지 한다.,그린은 천명을 위해 헌신했다. 오늘 밤에 또 모금 파티가 있어. 마티는 네가 꼭 왔으면 좋겠어.
그린은 천명을 위해 헌신했다. 오늘 밤에 또 모금 파티가 있어. 마티는 네가 꼭 왔으면 좋겠어.,"모르겠어, 여기 좀 바빠."
데이트를 해야겠어.,"그래? 그럼, 내가 이걸 끼워줄 수 있을 것 같은데..."
안녕,"이봐... 그래서 네 상사와 사귀는 거야, 뭐야?"
"이봐... 그래서 네 상사와 사귀는 거야, 뭐야?",적어도 300번째는 안 물어봤으면 난 아마 화났을 거야. 남자들의 세상이라는 건 너도 잘 알잖아
적어도 300번째는 안 물어봤으면 난 아마 화났을 거야. 남자들의 세상이라는 건 너도 잘 알잖아,"미안, 누구 사귀는 사람 있어?"
"미안, 누구 사귀는 사람 있어?",그게 정말 네가 상관할 일이라고 생각해?
그게 정말 네가 상관할 일이라고 생각해?,날 여기 초대했잖아
날 여기 초대했잖아,마티는 그랬다. 하지만 네가 오길 바랬어
알았어,"림은 달팽이처럼 느리잖아, 안 그래?"
"림은 달팽이처럼 느리잖아, 안 그래?","아니, 공룡에 더 가깝지 하지만 그 남자는 멍청이가 아니야. 그는 이번 건에 공을 많이 저글링하고 있다."
"아니, 공룡에 더 가깝지 하지만 그 남자는 멍청이가 아니야. 그는 이번 건에 공을 많이 저글링하고 있다.","그래, 하지만 알버트 아인슈타인이 이 사람들이 사고로 죽었는지 아닌지를 알아내는 데만 필요하지는 않아."
"그래, 하지만 알버트 아인슈타인이 이 사람들이 사고로 죽었는지 아닌지를 알아내는 데만 필요하지는 않아.","맙소사, 그를 좀 봐줘. 아직 공개하기에는 증거가 충분하지 않다. 물론, 누군가 불을 붙이기 위해 플러그에 버린 것 같은 화학물질을 발견했고, 왜 역기류하는지 알아냈을지도 모르지만, 넌 이걸 서두를 수 없어. 잠길 때까지는 안 돼"
"맙소사, 그를 좀 봐줘. 아직 공개하기에는 증거가 충분하지 않다. 물론, 누군가 불을 붙이기 위해 플러그에 버린 것 같은 화학물질을 발견했고, 왜 역기류하는지 알아냈을지도 모르지만, 넌 이걸 서두를 수 없어. 잠길 때까지는 안 돼",하지만 림게일은 아마 방화를 하러 올 거야.
하지만 림게일은 아마 방화를 하러 올 거야.,"공룡처럼 말이야, 그래."
초대해줘서 고마워.,마실 것 좀 있어?
마실 것 좀 있어?,"아, 응급상황에 대비해서 뭔가 숨겨져 있는 게 있을지도 몰라."
이곳은 이 도시에서 가장 오래된 소방서 중 하나이다. 롯타의 전통은 여기에 갇혀있다. 어떻게 생각해?,홈티.
홈티.,"저 위에 트랩 문 보이지? 그것은 말 끄는 엔진을 가지고 있을 때 건초 덩어리로 이어지곤 했다. 그때는 꽤 달랐어... 그래도 마찬가지야, 알지?"
"저 위에 트랩 문 보이지? 그것은 말 끄는 엔진을 가지고 있을 때 건초 덩어리로 이어지곤 했다. 그때는 꽤 달랐어... 그래도 마찬가지야, 알지?",보고 싶니? 그런 것 같네
보고 싶니? 그런 것 같네,돌아와 보니 소방관이 되고 싶다는 것을 무엇보다 알고 있었다.
돌아와 보니 소방관이 되고 싶다는 것을 무엇보다 알고 있었다.,그럼 왜 그만두셨어요?
그럼 왜 그만두셨어요?,나는 좋은 사람이 되고 싶었다.
"자, 여기 있는 우리의 샘플은 1차 억제 장비에 대한 당신의 기본적인 표준 발행물 입니다. 이 영역은 호스에 액체가 삽입되는 속도를 제어하는 펌핑 패널이다.",응.
"브라이언, 왜 그래?",스웨이지크에게 우리 방화범에 대해 말했잖아 그 빌어먹을 뉴스에 다 나왔어.
스웨이지크에게 우리 방화범에 대해 말했잖아 그 빌어먹을 뉴스에 다 나왔어.,비밀인 줄 몰랐다. 도시와 수사관들 사이에는 비밀이 없어야 한다.
비밀인 줄 몰랐다. 도시와 수사관들 사이에는 비밀이 없어야 한다.,- 말도 안 돼! 내가 서류 준비가 안 됐다고 한 거 알고 있었잖아
- 말도 안 돼! 내가 서류 준비가 안 됐다고 한 거 알고 있었잖아,"제발 목소리 좀 낮춰줘, 사람들이 있어."
"제발 목소리 좀 낮춰줘, 사람들이 있어.",- 그 개자식을 겁먹게 할 수도 있었잖아. 우린 지금 절대 그를 체포하지 않을지도 몰라. 모두 부부의 정치적 논점을 위해서입니다.
- 그 개자식을 겁먹게 할 수도 있었잖아. 우린 지금 절대 그를 체포하지 않을지도 몰라. 모두 부부의 정치적 논점을 위해서입니다.,난 내 일을 하고 있었다.
난 내 일을 하고 있었다.,"그래? 그리고 이 모든 일들 중 얼마나 많은 일이 ""당신의 일을"" 해왔을까?"
"그래? 그리고 이 모든 일들 중 얼마나 많은 일이 ""당신의 일을"" 해왔을까?","뭐 하나 물어볼 게 있는데, 정말 마티가 네 소방 기술 때문에 방화 임무를 맡겼다고 생각해? 도대체 누굴 놀리는 거야? 난 거기 있었어, 기억나? 너와 네 동생을 봤어."
"뭐 하나 물어볼 게 있는데, 정말 마티가 네 소방 기술 때문에 방화 임무를 맡겼다고 생각해? 도대체 누굴 놀리는 거야? 난 거기 있었어, 기억나? 너와 네 동생을 봤어.",스티븐은 이 일에서 빠져라.
스티븐은 이 일에서 빠져라.,"그래, 진짜 소방관이지 누구세요? 스웨이잭에서 일하는 또 다른 프로비아가.."
"그래, 진짜 소방관이지 누구세요? 스웨이잭에서 일하는 또 다른 프로비아가..",- 나는 도시를 위해 일한다.
- 나는 도시를 위해 일한다.,우리가 뭘 하라는 건지 알고 있었잖아 지금 갑자기 양심을 끄집어내지 마라. 핏이 안 맞네.
안녕,안녕
안녕,"아직 얘기 안해? 저기, 요전 날 일은 미안해."
"아직 얘기 안해? 저기, 요전 날 일은 미안해.",스웨이지악은 살해된 사람들에 대해 알고 있다. 왜 그가 그걸 숨기고 있는지 알고 싶다.
스웨이지악은 살해된 사람들에 대해 알고 있다. 왜 그가 그걸 숨기고 있는지 알고 싶다.,난 그것에 대해서는 아무것도 모른다.
난 그것에 대해서는 아무것도 모른다.,확인해 볼 수 있어. 파일에 있을 거야
확인해 볼 수 있어. 파일에 있을 거야,나한테 뭘 하라는 건지 알아?
나한테 뭘 하라는 건지 알아?,네
네,"그러게, 4년 전에 나는 빵집에서 일하고 있었어. 2년 전 나는 마티에게 커피를 가져다주고 있었는데 마티는 내 이름도 몰랐다. 나는 지금 그 사무실을 운영하고 있다. 마티는 나를 믿었고 나는 그를 믿었다. 그냥 버려줄까?"
"그러게, 4년 전에 나는 빵집에서 일하고 있었어. 2년 전 나는 마티에게 커피를 가져다주고 있었는데 마티는 내 이름도 몰랐다. 나는 지금 그 사무실을 운영하고 있다. 마티는 나를 믿었고 나는 그를 믿었다. 그냥 버려줄까?","네 상사는 거짓말을 하고 있어, 제니퍼."
무엇이란?,그냥 가져가.
미안하다.,그건 바보 같은 소리야.
그건 바보 같은 소리야.,네 말이 맞아.
네 상사가 스핀 컨트롤이 필요할 것 같아.,"난 이틀 전에 그만뒀어, 브라이언."
"난 이틀 전에 그만뒀어, 브라이언.",어떻게 할 거야?
어떻게 할 거야?,전혀 모르겠는데...
전혀 모르겠는데...,"나중에 보자, 응?"
"나중에 보자, 응?",작은 마을이다.
"브라이언 맥카프리... 오, 이건 정말 맛있다. 브라이언 맥카프리 동물한테 아빠를 잃었지?","이봐, 내가 널 아니?"
거의 다 왔어... 누군지 모르겠는데...,"그래서 나한테 왔구나... 음, 오늘 오후는 정말 재미있을 것 같은데..."
"좋아, 이렇게 하자. 내가 이야기 해줄게, 네가 말해줘. 공정한가?",누가 이러는 거야?
누가 이러는 거야?,"첫 번째 질문은 누가 아닌지가 되어야 한다. 그건 불꽃이 아니야, 브라이언. 손상이 충분하지 않아. 보험 전문가도? 이윤은 어디 있어?"
"첫 번째 질문은 누가 아닌지가 되어야 한다. 그건 불꽃이 아니야, 브라이언. 손상이 충분하지 않아. 보험 전문가도? 이윤은 어디 있어?",그러면 누가 --
그러면 누가 --,"- 아니, 네 차례야. 이야기를 하나 들려줘."
"- 아니, 네 차례야. 이야기를 하나 들려줘.",나는 이야기가 없다.
나는 이야기가 없다.,물론 그렇겠지.
"심지어 유명한 이야기까지. 직선 화상. 엔진과 트럭이 현장에 먼저 도착했어 브라이언, 처음 도착했을 때 어떤 기분이었니?",뭐?
